Customer_ID,Default_Probability,Credit_Score,Score_Category,Predicted_Default,Actual_Default
39034,0.4733301321706463,300.0,Very Poor,0,0
42072,0.08225710319248047,811.5955641888612,Excellent,0,0
22543,0.10623254151679531,771.7099095017336,Excellent,0,0
62399,0.14224570119124622,711.798243590258,Good,0,0
2026,0.21377866402890358,592.7956620359344,Very Poor,0,0
54657,0.15886082077604805,684.1572506131807,Fair,0,0
60820,0.06782106588510345,835.6114253924743,Excellent,0,0
11215,0.09618212457852632,788.429831533562,Excellent,0,0
56822,0.061572367036430174,846.0067908973991,Excellent,0,0
60145,0.09788898302769386,785.5902935955107,Excellent,0,0
76304,0.1431922798302491,710.2235108066997,Good,0,0
53733,0.1389008206827007,717.3628029167187,Good,0,0
77958,0.1809456348629305,647.4168475146702,Poor,0,0
24029,0.26032103860910444,515.367543487537,Very Poor,0,0
27759,0.14769152343601594,702.738547471081,Good,0,0
40010,0.14537003936373522,706.6005795564236,Good,0,0
49751,0.2046517750709172,607.9791984710876,Poor,0,0
77786,0.150849280889031,697.4852869611811,Fair,0,0
78672,0.195507589511026,623.1915096164881,Poor,0,0
77477,0.1591600385538945,683.6594704766095,Fair,0,0
24964,0.1403422110708878,714.9648989236864,Good,0,0
14642,0.19926899020693664,616.9340252999298,Poor,0,0
48372,0.5094340851568127,300.0,Very Poor,0,0
8841,0.08323745610792777,809.9646443563176,Excellent,0,0
59646,0.08192022493026054,812.1559964886485,Excellent,0,0
25210,0.08930712874454975,799.867107720139,Excellent,0,0
56449,0.09759522900725061,786.0789841989468,Excellent,0,0
17657,0.1624899988576031,678.1197324747868,Fair,0,0
441,0.056506160836812216,850.0,Excellent,0,0
19717,0.3377101274094408,386.6226825724704,Very Poor,0,0
20212,0.28413905413832014,475.7437781206492,Very Poor,0,0
33262,0.08625804801583731,804.9395731079882,Excellent,0,0
58393,0.09738483562864772,786.4289956370652,Excellent,0,0
70947,0.10638048242428264,771.4637942953995,Excellent,0,0
43303,0.04846467828651952,850.0,Excellent,0,0
57863,0.11161776595360205,762.7510241877862,Excellent,0,0
39380,0.1430686654368533,710.4291563070092,Good,0,0
49431,0.12109680470510709,746.9816496598136,Good,0,0
82464,0.11503929721389991,757.0589483014801,Excellent,0,0
56980,0.09997450131847757,782.1208153209246,Excellent,0,0
32741,0.19692201447465954,620.8384654336368,Poor,0,0
37163,0.059507194787004794,849.4424213995736,Excellent,0,0
29416,0.20653663085077145,604.8435433162844,Poor,0,0
20171,0.13030573837260284,731.6616232507074,Good,0,0
14589,0.18143623670876685,646.600679920685,Poor,0,0
79220,0.0840415363949652,808.6269725175102,Excellent,0,0
3261,0.16599614656788447,672.2868882546867,Fair,0,0
38923,0.05539870372842543,850.0,Excellent,0,0
32579,0.3462898148049569,372.34947329253805,Very Poor,0,0
75915,0.21789232931744126,585.9521486462068,Very Poor,0,0
19984,0.12780376357943024,735.8239205687578,Good,0,0
4065,0.07290250412480759,827.157920259379,Excellent,0,0
26617,0.1290743165059316,733.7102225999179,Good,0,0
55404,0.24164816941646786,546.4318186244834,Very Poor,0,0
80241,0.14727188130889918,703.436666135188,Good,0,0
27322,0.19616513006277903,622.0976219871885,Poor,0,0
53187,0.423741748938001,300.0,Very Poor,0,0
81853,0.09743956375781743,786.3379496577505,Excellent,0,0
84871,0.12987624788003713,732.3761257030153,Good,0,0
66155,0.11698251165770242,753.8262073922162,Excellent,0,0
5329,0.09441054204186687,791.3770447753438,Excellent,0,0
42863,0.12806418197866923,735.3906872653364,Good,0,0
76411,0.16496322846928507,674.005255779131,Fair,0,0
78829,0.1252099031502803,740.1390792734376,Good,0,0
56457,0.15512414515151787,690.3736021818888,Fair,0,0
59617,0.09860250368333305,784.4032771957272,Excellent,0,0
81416,0.19039319191919657,631.6998460865458,Poor,0,0
