Customer_ID,Credit_Score,Category,Default_Probability,Predicted_Default,Actual_Default
19139,847.6760733162944,Excellent,0.0036838073575154863,0,0
15478,838.797999903121,Excellent,0.005164291345979419,0,0
7708,831.5135676452659,Excellent,0.006379023959792042,0,0
83864,341.7646851338719,Very Poor,0.08804824938547438,0,0
68152,821.1353745986916,Excellent,0.00810966392181832,0,0
66021,808.3145305499095,Excellent,0.010247633890015526,0,0
16771,836.2267551375091,Excellent,0.0055930653072604215,0,0
32611,846.2496190335695,Excellent,0.00392167909247055,0,0
27779,846.8028494206771,Excellent,0.0038294238596146097,0,0
75932,831.8283698905668,Excellent,0.006326528371840617,0,0
5682,835.1233199323412,Excellent,0.0057770712370981475,0,0
81003,819.2515450487078,Excellent,0.008423806343935223,0,0
33813,835.5646243983039,Excellent,0.0057034804741600996,0,0
48075,727.8445570796965,Good,0.023666593356828806,0,0
8043,300.0,Very Poor,0.13744355690851656,0,0
62451,835.6244257730286,Excellent,0.005693508155431943,0,0
34780,816.3525844128491,Excellent,0.00890722933503235,0,0
68535,770.5932308170054,Excellent,0.01653793784219371,0,0
21412,805.8035485468316,Excellent,0.010666358592760347,0,0
23426,812.9416714092348,Excellent,0.00947602414589766,0,0
17860,846.5496311706216,Excellent,0.003871649863765204,0,0
30374,829.0409391791006,Excellent,0.006791352928388544,0,0
19518,847.3194999547103,Excellent,0.0037432685860918124,0,0
28673,613.705192024895,Poor,0.04270017131376874,0,0
72316,805.5230183607199,Excellent,0.010713139062969463,0,0
35473,817.2146127952481,Excellent,0.008763479767040557,0,0
84708,810.5671768213097,Excellent,0.009871988569091238,0,0
43793,759.148812451979,Excellent,0.018446378711984596,0,0
59959,710.6006868230411,Good,0.02654213545093301,0,0
26304,774.6273074405906,Excellent,0.015865225917938548,0,0
23996,829.9841362165648,Excellent,0.006634067890639211,0,0
31422,850.0,Excellent,0.003151107830579926,0,0
39333,694.4830319842233,Fair,0.029229872847320298,0,0
10638,491.38614251516367,Very Poor,0.06309777176777905,0,0
23370,300.0,Very Poor,0.11600127440042843,0,0
6725,765.8540978873341,Excellent,0.017328223087094908,0,0
4237,818.446624182153,Excellent,0.008558032813964944,0,0
70462,828.2526404899298,Excellent,0.006922807528179606,0,0
51218,831.6128296630276,Excellent,0.006362471288832958,0,0
19437,847.7280180926219,Excellent,0.00367514518430986,0,0
56309,817.5551355659293,Excellent,0.008706695092456435,0,0
44796,833.3220242211142,Excellent,0.006077450535043934,0,0
75924,381.51599516503234,Very Poor,0.08141942629709194,0,0
14635,300.0,Very Poor,0.2742256236669206,0,0
79505,822.5630839834874,Excellent,0.007871582889368896,0,0
29469,674.2619296283676,Fair,0.03260189027426715,0,0
8851,849.9874241827878,Excellent,0.003298372613927064,0,0
10168,827.8657726300369,Excellent,0.006987320586989523,0,0
51957,806.5696600868391,Excellent,0.010538603863150257,0,0
29042,830.3718802549326,Excellent,0.0065694087226293866,0,0
24843,811.4960729097986,Excellent,0.009717088319684184,0,0
58533,841.0680864350479,Excellent,0.004785737733440171,0,0
28103,820.0041564793876,Excellent,0.008298302856770664,0,0
61179,731.8279727871222,Good,0.023002329512660895,0,0
80539,850.0,Excellent,0.0031155005672047343,0,0
7905,453.6054650160984,Very Poor,0.06939797739884423,0,0
75068,832.1024369032668,Excellent,0.006280825683297123,0,0
5278,832.2776728966655,Excellent,0.006251603793551941,0,0
12405,837.321738669758,Excellent,0.005410468755995071,0,0
66495,373.9025887668551,Very Poor,0.082689017766503,0,0
80277,815.5004758339531,Excellent,0.009049324702887303,0,0
61375,831.3002904903557,Excellent,0.0064145894927917085,0,0
45881,817.7655502061183,Excellent,0.008671606904823737,0,0
61771,797.1742983734393,Excellent,0.012105349477336769,0,0
67927,831.7166510869557,Excellent,0.006345158303387604,0,0
69568,813.3203803537956,Excellent,0.009412871646180952,0,0
48436,681.3623211796407,Fair,0.03141784780083069,0,0
21025,850.0,Excellent,0.0031143269666454127,0,0
61746,821.97646713642,Excellent,0.00796940555978724,0,0
39013,830.8017485338813,Excellent,0.006497725027922859,0,0
72415,845.0430956277185,Excellent,0.004122875737388912,0,0
26324,847.3480266705202,Excellent,0.003738511546581715,0,0
69875,749.8472151067683,Good,0.019997488428681643,0,1
77619,833.5164037467387,Excellent,0.006045036320610305,0,0
35952,819.4241477980092,Excellent,0.008395023566995539,0,0
66701,845.9155995452622,Excellent,0.003977379296924839,0,0
22755,828.676119415807,Excellent,0.006852189305054444,0,0
78435,839.2009662386627,Excellent,0.005097093748044013,0,0
22129,849.7509852548056,Excellent,0.003337800542807204,0,0
36996,840.9309918905266,Excellent,0.004808599256275567,0,0
26358,820.9315044647096,Excellent,0.008143660764944037,0,0
84571,833.1367052114931,Excellent,0.006108353841846395,0,0
49845,824.4346157819976,Excellent,0.007559491207688938,0,0
18219,837.4514031537532,Excellent,0.005388846250357486,0,0
18705,413.6610838429988,Very Poor,0.07605899651906521,0,0
26345,300.0,Very Poor,0.3779516245537656,0,1
60999,824.7642489895273,Excellent,0.007504522447790015,0,0
2688,822.8344075943988,Excellent,0.007826337683235502,0,0
33441,841.0694174428763,Excellent,0.004785515778102933,0,0
7091,300.0,Very Poor,0.10988090497151994,0,0
34159,726.1512429309994,Good,0.02394896593564368,0,0
41219,850.0,Excellent,0.0026204584914303517,0,0
66606,822.1690965294737,Excellent,0.007937283192821843,0,0
62158,790.6722181653215,Excellent,0.013189619137186963,0,0
44212,845.5252704522607,Excellent,0.004042469541792932,0,0
26379,801.5756975039554,Excellent,0.011371383825520987,0,0
21512,813.8543380222497,Excellent,0.009323830280799706,0,0
57048,846.7761241866885,Excellent,0.003833880488791523,0,0
6784,684.6512717206448,Fair,0.03086939112693327,0,0
32413,300.0,Very Poor,0.1261670393430463,0,0
43485,839.7987746108655,Excellent,0.004997404808560491,0,0
35633,843.3349713344711,Excellent,0.004407718016650381,0,0
64825,815.5342320515756,Excellent,0.00904369560551726,0,0
45380,818.0639506703054,Excellent,0.008621846434413159,0,0
72938,793.669716198292,Excellent,0.012689764310949533,0,0
65534,748.4470480799687,Good,0.02023097657052062,0,0
10832,812.4380929701599,Excellent,0.009559999551516601,0,0
72766,823.6831967100146,Excellent,0.00768479586027794,0,0
4465,812.2490938222849,Excellent,0.009591516548419016,0,0
19212,827.0349809997599,Excellent,0.00712586119699956,0,0
48184,838.3421945196158,Excellent,0.005240300243487949,0,0
55913,708.883343567739,Good,0.026828515059869194,0,0
32417,812.7864082486504,Excellent,0.009501915418986526,0,0
7298,837.9569680569349,Excellent,0.0053045395872497745,0,0
45581,826.5645813775621,Excellent,0.0072043037910661835,0,0
70359,832.3486152888065,Excellent,0.006239773628291965,0,0
43911,846.042538991205,Excellent,0.003956211211409355,0,0
9198,844.6049844616659,Excellent,0.004195933994098716,0,0
79403,764.8594383564678,Excellent,0.017494089873827653,0,0
72055,845.5519394187919,Excellent,0.004038022295628036,0,0
23636,300.0,Very Poor,0.42697982897171777,0,0
82647,832.1893444459834,Excellent,0.0062663332118474465,0,0
16737,817.326403142839,Excellent,0.008744837905009118,0,0
14968,755.1001945431922,Excellent,0.019121515502414074,0,0
79408,806.898817108428,Excellent,0.01048371451075655,0,0
68296,836.3528684804238,Excellent,0.00557203498049609,0,0
26242,825.1024944152213,Excellent,0.007448117537219226,0,0
63799,835.6635247167777,Excellent,0.005686988119215487,0,0
46257,846.544046402308,Excellent,0.0038725811649251304,0,0
82038,838.1270329097271,Excellent,0.005276180023204532,0,0
45442,825.1051187674071,Excellent,0.007447679907205321,0,0
31250,843.4510325313623,Excellent,0.004388363959110778,0,0
20648,774.1236290261196,Excellent,0.015949217995189533,0,0
61468,811.6560116665393,Excellent,0.009690417356574315,0,0
19179,830.3033944454537,Excellent,0.006580829234676518,0,0
66902,850.0,Excellent,0.003288294366228592,0,0
17973,838.4829420773581,Excellent,0.005216829553851191,0,0
53819,818.0967107366255,Excellent,0.008616383452593704,0,0
13715,822.9343076055064,Excellent,0.007809678622197245,0,0
38237,824.0152847161652,Excellent,0.0076294177446681625,0,0
44978,831.7940684619099,Excellent,0.006332248387157516,0,0
7316,832.6833087886903,Excellent,0.006183961027453862,0,0
29584,845.6173504067187,Excellent,0.004027114532672228,0,0
39489,756.563839259114,Excellent,0.018877441989403144,0,0
10561,701.4159866718439,Good,0.028073751701426387,0,0
25719,839.8837745459545,Excellent,0.004983230444702134,0,0
26933,841.2411588282253,Excellent,0.004756876639932644,0,0
21945,342.4407015718894,Very Poor,0.08793551867624885,0,0
76516,842.2864446562637,Excellent,0.004582567546083191,0,0
69735,688.1856819841958,Fair,0.030280002240366328,0,0
51774,798.3218358994857,Excellent,0.011913989161375392,0,0
53200,839.2782298513888,Excellent,0.005084209472795484,0,0
50012,812.1752602100441,Excellent,0.0096038288458788,0,0
6405,787.0297354473328,Excellent,0.01379702989977846,0,0
60772,848.0405806127692,Excellent,0.0036230230869879984,0,0
47706,572.650389719732,Very Poor,0.0495463613184783,0,0
41105,828.8492357131569,Excellent,0.006823320890203493,0,0
13960,829.3628954232507,Excellent,0.006737664358552771,0,0
15570,824.5507891323557,Excellent,0.00754011844773451,0,0
84839,842.7687743572337,Excellent,0.0045021355237046595,0,0
22086,300.0,Very Poor,0.09976411098316164,0,0
52338,574.8735601289643,Very Poor,0.049175631314194786,0,0
62002,834.408593375065,Excellent,0.005896257143198812,0,0
59526,827.8547571907117,Excellent,0.006989157492451776,0,0
58146,816.3429018970945,Excellent,0.008908843965693252,0,0
